1.50	1673.00	41.48	4.64	13.02	16.74	7.13	13.55	0.02	0.52	0.14	0.00	64.89	0.00	32.64	2.49	2800.00
1.00	1783.00	47.31	5.17	7.29	11.19	17.05	8.86	0.00	0.47	0.10	0.00	60.84	0.00	33.15	2.69	2928.00
1.50	1783.00	47.36	4.39	6.59	10.48	16.13	8.95	0.00	0.88	0.77	0.00	56.97	0.00	32.57	2.52	3381.00
2.50	1783.00	40.87	4.38	6.43	19.40	16.41	8.27	0.00	0.29	0.10	0.00	61.43	0.00	31.26	4.66	2677.00
2.00	1783.00	46.17	0.20	6.88	17.01	17.51	7.44	0.00	0.26	0.02	0.00	59.00	0.00	36.40	4.08	2567.00
1.00	1764.00	47.81	9.43	8.04	10.00	12.25	8.84	0.00	0.51	0.37	0.00	62.00	0.00	34.75	2.40	3034.00
1.00	1783.00	47.16	9.36	7.90	11.81	11.78	8.70	0.00	0.37	0.02	0.00	62.19	0.00	34.40	2.83	3005.00
2.00	1783.00	42.93	8.96	7.61	16.61	10.62	8.42	0.00	0.74	0.03	0.00	58.95	0.00	33.36	3.99	3199.00
1.50	1783.00	47.64	6.35	10.94	16.27	4.50	10.31	0.00	0.11	0.04	0.00	61.66	0.00	32.58	3.91	2872.00
2.00	1783.00	46.77	6.27	10.77	17.47	4.31	10.12	0.00	0.09	0.02	0.00	61.79	0.00	32.64	4.19	2595.00
1.00	1583.00	45.16	0.71	12.75	17.55	6.77	12.31	0.00	0.37	0.09	0.00	61.19	0.27	32.07	3.32	2700.00
1.00	1683.00	41.46	1.09	17.77	13.57	6.73	14.63	0.00	0.56	0.22	0.00	62.75	0.32	31.82	5.06	2713.00
1.00	1783.00	42.66	1.09	19.36	12.66	7.88	13.08	0.00	0.23	0.11	0.00	58.95	2.30	30.75	2.96	2886.00
1.00	1783.00	40.84	1.82	12.02	25.29	7.49	7.97	0.00	0.50	0.28	0.00	32.47	36.87	26.27	1.53	3011.00
1.00	1783.00	58.67	0.29	10.12	16.40	1.56	3.31	0.00	0.57	5.45	0.00	62.07	2.56	29.87	3.77	3097.00
1.00	1673.00	46.53	2.78	9.92	20.22	10.79	9.21	0.00	0.26	0.00	0.00	64.66	0.00	34.39	1.86	3314.05
0.00	1473.00	44.61	2.97	9.06	24.14	8.21	9.87	0.00	0.15	0.00	0.00	67.10	0.00	31.08	1.22	3211.01
1.50	1923.15	37.39	0.00	34.04	11.60	0.21	16.64	0.00	0.00	0.00	0.00	59.22	3.15	35.68	1.95	2941.50
2.50	2073.15	44.70	0.03	10.08	7.59	20.04	16.81	0.00	0.04	0.00	0.00	63.74	0.16	35.54	0.42	3357.50
5.50	2073.15	42.84	0.02	9.08	11.31	19.39	15.93	0.00	0.03	0.00	0.00	64.84	0.22	32.77	1.74	2760.94
0.50	2073.15	50.22	1.72	17.07	10.71	7.25	9.33	0.00	2.64	0.80	0.00	63.53	0.00	36.47	0.00	2955.00
1.50	1773.15	47.34	1.78	9.48	15.56	15.68	8.45	0.00	1.50	0.33	0.00	63.53	0.00	36.47	0.00	3125.00
1.50	1773.15	48.55	1.64	10.47	11.47	17.01	8.35	0.00	1.51	0.34	0.00	63.53	0.00	36.47	0.00	2750.00
1.00	2073.15	47.07	0.90	9.92	15.49	15.18	8.83	0.00	1.89	0.37	0.00	63.53	0.00	36.47	0.00	3370.00
1.00	1673.00	44.10	1.53	15.50	16.20	5.76	9.63	0.00	3.04	1.67	0.00	63.53	0.00	36.47	0.00	3045.00
1.00	1623.00	43.60	1.53	15.30	16.60	5.72	10.20	0.00	3.05	1.66	0.00	63.53	0.00	36.47	0.00	2951.00
0.90	1773.15	51.00	0.37	10.10	17.20	10.50	8.99	0.13	0.16	0.04	0.00	58.80	6.51	34.00	0.00	3320.00
1.00	1773.15	50.00	0.25	8.55	12.80	20.70	7.09	0.17	0.19	0.04	0.00	62.00	0.74	36.30	0.00	2910.00
1.00	1773.15	50.60	0.28	9.30	10.60	19.90	8.09	0.16	0.21	0.05	0.00	60.10	1.01	39.40	0.00	3270.00
1.00	1798.15	46.40	0.00	10.10	9.27	19.70	14.00	0.02	0.00	0.00	0.00	54.70	9.04	34.00	0.00	2660.00
1.00	1873.15	47.80	0.00	11.10	11.20	11.80	17.10	0.03	0.00	0.00	0.00	61.30	0.88	35.80	0.00	2960.00
1.00	1873.15	42.20	0.00	13.40	12.60	22.10	8.72	0.01	0.00	0.00	0.00	58.50	3.79	36.90	0.00	2870.00
0.00	1473.15	45.64	5.26	8.56	15.85	8.93	11.72	0.00	1.46	0.68	0.00	62.71	1.96	32.21	2.38	2932.00
0.00	1473.15	46.49	5.39	8.57	13.79	8.74	11.91	0.00	1.63	1.01	0.00	61.93	2.05	32.34	2.07	2716.00
0.00	1473.15	44.68	5.09	8.48	17.84	8.94	11.34	0.00	1.49	0.77	0.00	62.27	1.74	30.70	4.54	3349.00
3.00	1873.15	45.60	0.47	11.40	15.70	10.70	14.79	0.00	1.63	0.16	0.00	62.00	0.00	35.00	0.00	3000.00
5.00	1873.15	45.60	0.55	11.30	14.40	11.50	14.10	0.00	1.44	0.18	0.00	63.10	0.00	33.90	0.00	2800.00
5.00	1923.15	44.80	0.48	10.30	13.50	12.40	14.60	0.00	1.40	0.13	0.00	63.70	0.00	33.60	0.00	3400.00
2.00	1773.15	45.80	0.55	11.30	16.50	9.90	13.71	0.00	1.67	0.16	0.00	62.10	0.00	35.00	0.00	3300.00
1.25	1693.15	45.93	3.73	11.67	10.87	4.23	8.81	0.00	2.40	1.28	1.03	65.17	0.00	34.83	1.25	2600.00
1.50	1673.15	59.63	0.00	20.21	0.56	6.50	10.97	0.00	0.00	0.00	0.00	62.34	0.29	36.86	0.21	3400.00
